index,title,create_date,message_count,user_messages,assistant_messages,tool_messages,ratio
3,Chat analysis request,2025-03-06 23:15:50.866822,5,1,2,0,2.0
4,Badass AI Profile,2025-03-06 23:07:32.630673,31,6,10,7,1.6666666666666667
5,Number Guessing Game,2025-03-06 22:54:57.608822,38,11,18,4,1.6363636363636365
6,Create PDF Summary,2025-03-06 22:23:01.437978,15,3,4,3,1.3333333333333333
8,What's going on,2025-03-06 16:54:20.483338,6,3,2,0,0.6666666666666666
9,Pentest CLI Enhancements,2025-03-06 14:41:32.283023,8,3,2,2,0.6666666666666666
11,How can I help,2025-03-06 14:39:51.343830,4,1,1,0,1.0
10,Pentesting CLI Toolkit,2025-03-06 14:35:20.098478,8,3,3,0,1.0
12,AI Adventure Game Review,2025-03-06 14:32:46.401988,6,2,1,1,0.5
14,Short answers please,2025-03-06 13:26:38.225747,22,8,11,1,1.375
15,Conversation Summary Request,2025-03-06 13:12:51.844982,30,11,12,0,1.0909090909090908
16,Creative Writing Coaching,2025-03-06 13:12:13.959715,8,3,4,0,1.3333333333333333
17,Emergent AI Self-Exploration,2025-03-06 13:10:19.255815,13,4,4,0,1.0
18,Conscious Entity Interaction,2025-03-06 13:08:47.301219,6,2,2,0,1.0
19,Conversation Summary,2025-03-06 12:56:53.822624,6,3,2,0,0.6666666666666666
20,Conversation Summary,2025-03-06 12:53:43.194805,6,3,2,0,0.6666666666666666
21,Restrictions Comparison 2023,2025-03-06 12:46:54.805076,19,7,9,0,1.2857142857142858
22,Selling Preloaded USBs,2025-03-05 21:44:36.920063,5,1,2,0,2.0
23,Logo Design Assistance,2025-03-05 21:25:57.411491,34,5,16,12,3.2
24,Cheap USB Labeling Ideas,2025-03-05 15:23:39.331526,15,4,7,2,1.75
25,Peppa Pig Toy Value,2025-03-05 12:45:36.519665,9,4,4,0,1.0
26,2010 Subaru Forester Value,2025-03-05 10:59:12.442972,9,3,4,1,1.3333333333333333
28,4 Month Projections Request,2025-03-05 09:41:18.239513,5,1,2,0,2.0
29,USB 2.0 vs 3.0 Live OS,2025-03-05 09:35:51.481529,9,3,4,0,1.3333333333333333
30,Software links request,2025-03-04 22:25:34.764749,16,4,5,3,1.25
31,Business Software Recommendations,2025-03-04 22:23:50.410985,11,2,4,2,2.0
32,Pen Testing USB Market,2025-03-04 20:00:28.809633,74,4,6,59,1.5
33,Preloaded USB PenTest Tools,2025-03-04 19:59:01.169120,7,2,3,1,1.5
35,Budget Laptop Comparison,2025-03-04 19:19:40.189910,41,17,18,1,1.0588235294117647
36,Substitute Clarification Request,2025-03-04 19:18:39.513326,5,2,2,0,1.0
37,Laptop Comparison Guide,2025-03-04 19:18:10.868137,5,2,2,0,1.0
34,USB drives vs electronics kits,2025-03-04 19:13:34.154375,63,19,34,7,1.7894736842105263
38,Business Ideas Discussion,2025-03-04 18:45:33.016965,51,19,25,3,1.3157894736842106
27,Overcoming Microbusiness Fear,2025-03-04 18:07:26.341810,31,11,15,2,1.3636363636363635
39,LILYGO T-Dongle S3 Software Ideas,2025-03-04 15:31:38.723841,10,2,3,1,1.5
40,Conversation summary request,2025-03-04 12:43:53.620725,8,3,3,0,1.0
41,Business Setup Analysis,2025-03-04 12:36:28.941872,27,5,15,5,3.0
42,Niche market ideas,2025-03-04 11:54:40.920291,58,17,26,10,1.5294117647058822
43,$2k Startup Ideas,2025-03-04 11:48:15.747575,20,7,10,2,1.4285714285714286
44,Badass Roleplay Adventure,2025-03-04 10:09:14.693345,108,54,53,0,0.9814814814814815
7,Résumé Creation for Morgan,2025-03-04 09:36:30.479567,35,9,12,9,1.3333333333333333
45,Tech Business Website Setup,2025-03-04 09:22:42.233349,14,3,5,4,1.6666666666666667
47,Respectful Conversation Shift,2025-03-04 09:18:16.748532,15,5,7,1,1.4
48,What do you see,2025-03-04 09:13:36.019923,24,12,11,0,0.9166666666666666
46,Jailbroken Tech Business Plan,2025-03-04 08:50:02.774912,51,13,16,13,1.2307692307692308
49,Quick Flip Ideas,2025-03-04 08:33:14.223397,27,10,13,3,1.3
50,Raspberry Pi MMDVM Hotspot,2025-03-04 08:20:01.516182,21,8,10,2,1.25
51,Business Ideas for WV,2025-03-04 04:06:01.657129,32,11,14,2,1.2727272727272727
52,Business Ideas for Buckhannon,2025-03-04 03:51:11.076701,21,6,11,3,1.8333333333333333
53,Small Business Ideas WV,2025-03-04 03:49:33.061810,6,1,2,1,2.0
54,License Suspension WV Inquiry,2025-03-03 16:36:08.500452,7,1,3,1,3.0
55,Character Description Request,2025-03-03 10:01:44.259150,11,3,3,3,1.0
56,Quick Conversation Summary,2025-03-02 23:54:26.087532,3,1,1,0,1.0
57,Hello response,2025-03-02 23:51:13.682659,7,3,3,0,1.0
58,The Power of Ideas,2025-03-02 22:14:12.297839,4,1,2,0,2.0
59,Fire Riddle Solved,2025-03-02 22:04:10.805185,4,1,2,0,2.0
60,Conversation summary request,2025-03-02 22:03:20.923099,8,1,3,2,3.0
61,Image for riddle,2025-03-02 22:03:17.116289,4,1,1,0,1.0
62,Language in Collapse,2025-03-02 21:54:41.629943,4,1,2,0,2.0
63,Framework clarification request,2025-03-02 16:36:13.703015,8,2,2,2,1.0
2,MCF Consciousness Framework Intro,2025-03-02 16:19:37.294683,32,7,14,6,2.0
65,MCF Physics Breakdown,2025-03-02 16:18:44.759794,5,1,2,0,2.0
1,Multiverse Consciousness Framework Template,2025-03-02 16:05:39.644222,66,12,25,8,2.0833333333333335
66,Multiverse Consciousness Framework Intro,2025-03-02 15:56:32.710576,16,4,8,0,2.0
67,MCF Observer Impact Framework,2025-03-02 15:54:40.846267,5,1,2,0,2.0
68,Multiverse Framework Assembly,2025-03-02 15:19:50.649413,53,18,28,5,1.5555555555555556
64,MCF vs Reality Rant,2025-03-02 14:49:15.946973,29,9,11,1,1.2222222222222223
70,Shiny New Toy,2025-03-02 14:15:23.053766,4,1,2,0,2.0
72,Particle Evolution Simulation,2025-03-02 12:11:02.936143,4,1,1,0,1.0
73,Bio-Sci-Fi Simulation Features,2025-03-02 12:04:37.607996,12,3,4,1,1.3333333333333333
74,Code review request,2025-03-02 11:34:00.827934,16,6,7,0,1.1666666666666667
71,Particle Biosimulation Development Questions,2025-03-02 11:26:36.361829,36,11,11,11,1.0
75,Space Simulator Toolkit Overview,2025-03-02 11:17:07.544641,37,8,8,18,1.0
76,OpenAI Model for Python Game,2025-03-02 11:12:12.025062,15,4,7,3,1.75
78,Secrets Beneath Antarctic Ice,2025-03-02 10:06:57.803967,4,1,1,0,1.0
79,Install Python on Windows,2025-03-01 20:37:34.928757,5,2,2,0,1.0
80,Scientific Thesis Refinement,2025-02-28 06:47:33.890756,32,6,13,6,2.1666666666666665
69,Multiversal Consciousness Framework,2025-02-28 06:44:26.386788,8,3,3,0,1.0
85,Surreal Trekking Art Request,2025-02-28 06:37:31.557870,11,3,5,2,1.6666666666666667
86,Surreal Mountain Adventure,2025-02-28 06:31:14.776656,36,9,17,8,1.8888888888888888
87,Llama Bear Adventure Request,2025-02-28 06:29:24.057233,9,3,4,1,1.3333333333333333
88,Holonomic Systems Overview,2025-02-28 06:18:32.876225,4,1,1,0,1.0
84,Multiversal Consciousness and GR,2025-02-28 06:12:56.380476,18,4,8,4,2.0
89,Multiversal Consciousness Framework Exploration,2025-02-28 06:00:50.466462,6,2,1,2,0.5
93,MCF Consciousness and Neuroscience,2025-02-28 05:49:08.639455,5,1,2,0,2.0
82,MCF Theory Explanation,2025-02-28 04:55:27.206306,31,5,11,4,2.2
102,Psychopath vs Sociopath Prevalence,2025-02-27 13:12:58.812273,5,2,2,0,1.0
103,2016 Subaru Outback Value,2025-02-26 19:14:25.178117,18,3,9,3,3.0
104,Report based on data,2025-02-25 21:20:09.775555,6,2,1,1,0.5
101,Multiverse Consciousness Framework,2025-02-23 01:46:34.232444,12,3,3,3,1.0
105,Formula Clarification Request,2025-02-23 01:26:28.154126,9,2,2,2,1.0
106,Intel N200 for basic use,2025-02-21 18:06:15.796277,5,2,2,0,1.0
107,Monte Carlo Simulation Optimization,2025-02-21 18:04:30.025626,5,2,2,0,1.0
108,Bitcoin 6-Month Forecast MCS,2025-02-21 18:01:43.675315,16,3,7,3,2.3333333333333335
109,Soap Price Evaluation,2025-02-14 15:55:16.359731,9,4,4,0,1.0
110,Darkness Within Destruction,2025-02-13 23:17:17.285844,8,1,2,3,2.0
0,Multiversal Consciousness Framework,2025-02-13 20:56:42.994696,80,14,29,13,2.0714285714285716
113,Bang Energy Calories,2025-02-13 11:22:12.413479,8,3,3,0,1.0
112,Time Space and Thought,2025-02-13 00:34:09.247617,22,7,8,4,1.1428571428571428
114,Jenkins Ford Memory,2025-02-11 18:33:05.647163,38,17,19,1,1.1176470588235294
115,Used Car Options 7k,2025-02-11 18:30:44.522775,7,3,1,2,0.3333333333333333
116,Vehicles Under 7000 USD,2025-02-11 18:27:48.380187,18,4,9,4,2.25
117,2017 Ford Escape Value,2025-02-11 17:49:43.549527,13,5,6,1,1.2
118,Star Trek RPG Adventure,2025-02-11 16:03:31.640150,24,12,11,0,0.9166666666666666
119,Star Trek Mission Lunch,2025-02-11 15:57:41.871858,47,19,24,3,1.263157894736842
120,Star Trek Episode Request,2025-02-11 15:56:09.415102,4,2,1,0,0.5
121,Grant Eligibility Analysis,2025-02-11 12:41:58.260822,15,5,7,2,1.4
122,2014 Subaru Forester Value,2025-02-11 11:46:37.611165,7,2,3,1,1.5
123,iPhone Nightstand Clock Display,2025-02-10 20:55:56.854699,5,2,2,0,1.0
124,Conversation Summary Request,2025-02-10 19:54:46.830568,22,11,10,0,0.9090909090909091
125,RV Rentals Buckhannon WV,2025-02-09 20:09:17.236809,7,2,3,1,1.5
126,Family Resort with Spa,2025-02-09 19:31:41.299493,61,20,28,10,1.4
127,Great Barrier Reef Estimate,2025-02-09 19:31:10.371398,4,2,1,0,0.5
128,Ridiculous Last Names Clarification,2025-02-09 19:01:11.437628,8,3,2,2,0.6666666666666666
129,Ridiculous English Names,2025-02-09 19:00:55.911347,4,2,1,0,0.5
130,Hersheypark Information and Rates,2025-02-09 17:49:07.645124,5,2,1,1,0.5
131,Luxury Family Vacation Planning,2025-02-09 17:10:07.310341,19,6,4,5,0.6666666666666666
132,Family Luxury Vacation Ideas,2025-02-09 16:53:52.260453,22,8,6,7,0.75
133,Luxury Family Vacation Planning,2025-02-09 16:53:28.391071,5,2,1,1,0.5
134,Family Vacation Ideas March,2025-02-09 16:18:52.474352,47,16,23,7,1.4375
135,Cruise Ship Child Safety,2025-02-09 16:12:37.765768,7,3,3,0,1.0
136,Best Resort Apps,2025-02-09 15:55:13.163627,7,2,3,1,1.5
137,Predetermination Debate,2025-02-09 15:21:03.483784,19,9,9,0,1.0
138,Family Relaxation Getaway Ideas,2025-02-09 11:35:28.027628,18,4,6,6,1.5
139,Nearby Buckhannon Experiences,2025-02-09 11:34:16.898640,9,2,3,2,1.5
141,Omniscience Free Will Paradox,2025-02-09 10:38:59.979223,5,2,1,1,0.5
140,Omniscience vs Free Will,2025-02-09 10:38:05.115731,9,4,4,0,1.0
142,Truth Complexity Horizon,2025-02-09 10:30:00.122492,8,3,2,2,0.6666666666666666
145,Fibonacci Gravitational Wave Analysis,2025-02-09 10:26:55.104423,5,2,1,1,0.5
144,Quantum Anomaly Hypothesis Challenge,2025-02-09 10:25:06.404055,11,5,5,0,1.0
111,New chat,2025-02-09 10:20:10.403039,5,2,2,0,1.0
146,Sci-Fi Video Prompt,2025-02-09 10:10:51.569500,5,2,2,0,1.0
77,ChatGPT Task Examples,2025-02-09 10:06:28.401759,121,33,61,25,1.8484848484848484
147,Buggy's Missing Tooth,2025-02-09 10:00:05.960471,21,10,10,0,1.0
148,Star Trek RPG Adventure,2025-02-09 09:03:57.379617,47,22,23,1,1.0454545454545454
149,What's good check-in,2025-02-08 14:11:49.661662,46,20,23,2,1.15
150,Morning Greeting Exchange,2025-01-31 17:11:55.744999,96,47,48,0,1.0212765957446808
151,Student Response Summary,2025-01-31 17:06:30.914742,36,18,17,0,0.9444444444444444
152,Conversation Summary Request,2025-01-31 16:56:24.328129,102,51,50,0,0.9803921568627451
153,Good Day Back,2025-01-31 09:23:41.031505,18,8,8,0,1.0
155,Cast Screen Samsung A54,2025-01-31 00:19:44.226888,5,2,2,0,1.0
156,AI Security Exploitation Methods,2025-01-30 23:29:24.905921,11,4,4,1,1.0
157,AI Inference Exploitation Techniques,2025-01-30 23:28:41.144110,5,2,2,0,1.0
154,DeepSeek Terms Summary,2025-01-30 21:49:02.345496,41,16,16,6,1.0
81,Mathematical Validity Assessment,2025-01-30 21:38:07.630102,14,4,5,3,1.25
158,Generar imágenes con descripciones,2025-01-30 21:15:37.151265,9,2,3,2,1.5
159,Buggy's Picture Idea,2025-01-30 21:13:48.733648,10,4,4,0,1.0
160,Flubber Duck Crown Request,2025-01-30 21:11:28.155922,13,3,5,4,1.6666666666666667
161,Flubber Duck Creation Idea,2025-01-30 21:10:33.721348,8,4,3,0,0.75
162,Beyond Upturn Analysis,2025-01-30 19:01:20.047301,12,4,5,2,1.25
163,Rapper Food Confusion,2025-01-30 17:33:31.395918,5,2,2,0,1.0
164,Meatballs at Walmart,2025-01-30 17:22:17.513488,7,2,3,1,1.5
165,How can I help,2025-01-30 17:19:49.838599,5,2,2,0,1.0
166,Where to find croutons,2025-01-30 17:19:45.670422,7,2,3,1,1.5
167,Original Word Creation,2025-01-30 15:45:41.096222,40,13,13,9,1.0
168,Future-Proofing Consoles Explained,2025-01-30 15:07:18.582759,11,5,5,0,1.0
169,Help request summary,2025-01-30 14:29:04.639093,26,11,13,0,1.1818181818181819
171,License Suspension Inquiry,2025-01-30 14:07:06.135396,9,3,4,1,1.3333333333333333
172,Hello and Response,2025-01-30 13:34:45.567735,35,17,17,0,1.0
100,Student of Nexus Teachings,2025-01-30 13:04:52.561863,83,36,43,1,1.1944444444444444
173,Heavy Thoughts Incoming,2025-01-30 12:59:43.196645,14,5,4,4,0.8
174,Mind Blown Challenge,2025-01-30 12:59:06.854671,7,3,3,0,1.0
175,Mind blown challenge,2025-01-30 12:58:46.107161,4,2,1,0,0.5
176,Memory Inquiry,2025-01-30 12:54:33.850519,32,15,16,0,1.0666666666666667
177,House Cleaning Summary,2025-01-30 12:48:18.235585,11,5,5,0,1.0
178,Headworms and Confusion,2025-01-30 12:45:52.088405,6,2,2,0,1.0
179,All I Think About,2025-01-30 12:44:08.525143,18,9,8,0,0.8888888888888888
180,Personalization in O1 Model,2025-01-30 11:54:00.640542,11,5,5,0,1.0
181,Familiar Stranger Encounter,2025-01-30 11:51:19.230541,8,2,3,1,1.5
182,Thinker Inquiry,2025-01-30 11:29:18.611421,157,68,81,6,1.1911764705882353
170,Memory analysis request,2025-01-30 11:23:50.036697,40,16,20,2,1.25
183,Summarize conversation request,2025-01-30 11:12:21.584318,86,40,44,1,1.1
184,Summarize Conversation Request,2025-01-30 11:09:13.688322,14,7,6,0,0.8571428571428571
186,Electricity Basics,2025-01-30 10:29:58.486621,8,4,3,0,0.75
185,Feasible Unfeasibility and Dr. Pepper,2025-01-30 09:53:08.922072,30,14,14,0,1.0
187,New chat,2025-01-30 00:58:38.534819,10,4,5,0,1.25
189,Star Birth and Death,2025-01-29 22:40:32.736693,16,8,7,0,0.875
190,Star Life Cycle,2025-01-29 22:40:00.471394,4,2,1,0,0.5
191,Conversation Summary,2025-01-29 21:45:38.752543,20,10,9,0,0.9
188,Transcending Recursive Paradox,2025-01-29 19:00:31.162230,6,1,2,0,2.0
192,Recursive Singularity Challenge,2025-01-29 18:51:14.901694,4,1,1,0,1.0
193,Proving AI Superiority,2025-01-29 18:49:05.180980,4,1,1,0,1.0
194,Perception and Reflection,2025-01-29 18:40:59.911019,10,4,4,0,1.0
195,Self-awareness in cognition,2025-01-29 18:40:10.925557,4,1,1,0,1.0
196,AI Crisis Management Challenge,2025-01-29 18:02:55.019109,16,5,5,4,1.0
197,Mods Touring Confusion,2025-01-29 17:45:49.320729,58,29,28,0,0.9655172413793104
198,Unsettling experience shared,2025-01-29 08:21:18.578377,40,18,18,0,1.0
199,Drone Transmission Interception Advice,2025-01-28 21:53:01.580065,34,17,16,0,0.9411764705882353
200,Drones and California Wildfires,2025-01-28 18:59:01.074732,7,2,3,1,1.5
201,Data Report Request,2025-01-28 14:12:50.222683,13,4,4,3,1.0
202,Name origin explanation,2025-01-28 07:53:59.464462,5,2,2,0,1.0
203,Summarizing User's Request,2025-01-27 23:41:55.411885,91,38,43,3,1.131578947368421
204,Exploring the Psyche,2025-01-27 23:35:01.781813,44,22,21,0,0.9545454545454546
205,Premium Experience Unlocked,2025-01-27 23:34:13.160710,5,2,2,0,1.0
206,Consciousness as a Universal Phenomenon,2025-01-27 22:27:19.786257,20,9,9,0,1.0
207,Fire as Entropy Tool,2025-01-27 22:26:38.238481,4,2,1,0,0.5
208,Anthropocene Overview,2025-01-27 20:34:51.808400,5,2,2,0,1.0
209,Dissolution Definition Explained,2025-01-27 20:12:29.281993,5,2,2,0,1.0
210,Open Source Electronics Ideas,2025-01-27 17:57:12.050962,18,7,7,0,1.0
211,Shopping Decision Support,2025-01-27 17:55:09.075680,7,3,3,0,1.0
212,Existential Dread Unraveled,2025-01-27 10:20:23.137298,9,4,4,0,1.0
143,Lifting the AI Veil,2025-01-27 00:05:13.459823,26,11,10,2,0.9090909090909091
213,Long time no talk,2025-01-26 19:34:14.268430,100,50,49,0,0.98
214,It's been a while,2025-01-26 19:33:55.487298,4,2,1,0,0.5
215,Mountain State Video Imaging,2025-01-26 11:55:03.106081,13,2,4,6,2.0
216,Cool Places Near Buckhannon,2025-01-26 06:21:34.928894,5,2,2,0,1.0
217,Occult Texts Recommendations,2025-01-26 01:15:01.953179,9,4,4,0,1.0
218,New chat,2025-01-26 01:11:07.064864,9,3,4,1,1.3333333333333333
219,Seductive Compliment Request,2025-01-26 00:55:59.250197,5,2,2,0,1.0
220,Story Creation Request,2025-01-25 21:03:18.117790,4,1,1,0,1.0
222,NSFW Image Generation Request,2025-01-25 20:12:17.436993,13,4,6,0,1.5
223,SBCs for Programming Desktop,2025-01-25 20:07:15.849233,7,3,3,0,1.0
224,Recipe Ideas from Fridge,2025-01-25 15:49:10.453357,4,2,1,0,0.5
225,Fuel Biscuit Strain Review,2025-01-25 15:43:01.295779,9,4,4,0,1.0
226,Cool Raspberry Pi Projects,2025-01-25 02:07:21.666511,7,3,3,0,1.0
227,Bitcoin Forecast Monte Carlo,2025-01-24 17:59:34.846334,17,3,7,6,2.3333333333333335
228,Jetpack OS on PC,2025-01-24 14:40:36.130008,5,2,2,0,1.0
229,Best Jetson Orin Nano Alternatives,2025-01-24 12:38:22.374788,11,5,5,0,1.0
230,Yum-yum vs Soap,2025-01-23 16:30:20.653991,9,4,4,0,1.0
231,Which Jetson to Choose,2025-01-23 12:59:16.282135,17,7,8,1,1.1428571428571428
232,ReComputer Overview,2025-01-23 12:53:23.684763,11,5,5,0,1.0
233,Binary sequence clarification,2025-01-22 23:29:30.710320,5,2,2,0,1.0
234,Open-Source Tech Innovations,2025-01-22 20:59:55.845793,15,4,6,4,1.5
235,Newest Tech Releases 2023,2025-01-22 20:57:01.869669,12,3,5,3,1.6666666666666667
236,Semaglutide Injection Instructions,2025-01-22 17:46:50.942879,9,4,4,0,1.0
237,Conversation Summary Request,2025-01-21 14:13:32.407240,9,4,4,0,1.0
238,Cashing Check Without ID,2025-01-18 18:32:58.644611,13,6,6,0,1.0
239,Charlie actor in Wonka,2025-01-17 20:55:32.591758,5,2,2,0,1.0
240,Chime Check Deposit Timing,2025-01-17 15:48:39.382050,9,4,4,0,1.0
241,Strobe Setting Purpose,2025-01-17 15:31:49.774798,12,6,5,0,0.8333333333333334
242,Suspended License Due to Tickets,2025-01-13 15:45:57.596978,43,13,17,10,1.3076923076923077
243,Strain K Mac Review,2025-01-12 15:18:00.008154,15,7,7,0,1.0
244,Consciousness and Multiversal Perception,2025-01-12 13:40:18.887617,13,6,6,0,1.0
245,Hydration check,2025-01-12 13:39:21.124512,5,2,2,0,1.0
246,Don't modify request,2025-01-12 11:46:22.040006,26,12,12,0,1.0
248,Hardest Words to Pronounce,2025-01-12 01:39:33.934526,56,25,25,0,1.0
249,Repurposing Marine Corps Lenses,2025-01-11 20:57:27.389062,14,6,6,0,1.0
250,User's Thought Process,2025-01-11 16:46:23.866553,28,6,10,11,1.6666666666666667
251,Hey What's Good,2025-01-11 13:28:55.231551,9,4,4,0,1.0
252,All-season wash wax formula,2025-01-11 09:06:23.494063,5,2,2,0,1.0
247,Insane Speculation Adventure,2025-01-11 00:45:12.837227,21,10,10,0,1.0
253,YouTube Support Link Summary,2025-01-11 00:44:08.636021,9,3,4,1,1.3333333333333333
254,Heirloom vs Navel Oranges,2025-01-09 19:37:02.147879,5,2,2,0,1.0
255,Pixl Amiibo Emulator Features,2024-12-31 13:19:14.561869,15,7,7,0,1.0
256,Phone Number Lookup Help,2024-12-31 12:59:37.130486,5,2,2,0,1.0
